uid,Gender,Income,Goal_health,Goal_incex,Goal_indliving,Goal_self,Goal_food,Goal_sports,Goal_memory,Goal_sickness,Goal_religion,Goal_travel,Goal_polit,Goal_culture,Goal_hobby,Goal_commun,Goal_economy,Goal_work,Goal_familiy,Goal_relation,Goal_others,Health,Functioning,QoL,Happiness,Mother_tongue,Pet,Exercise,Hobby,Grandchildren,Education
169,2,1,4,6,5,4,5,5,5,2,6,2,4,5,6,2,3,4,6,6,6,4,4,4,4,1,0,0,1,0,1
170,1,1,5,5,5,4,5,5,4,4,2,3,4,4,3,3,4,2,3,4,3,4,4,4,4,1,0,1,1,0,1
172,1,1,3,3,5,3,3,3,4,3,0,3,2,3,5,2,5,3,4,3,4,3,3,3,3,1,1,1,0,0,1
173,2,2,6,5,0,1,4,3,5,0,1,5,0,3,4,1,4,4,5,4,4,4,4,4,4,1,0,1,0,1,1
174,2, ,6,4,3,6,4,0,1,6,4,0,6,6,6,6,3,3,6,6,6,1,1,3,4,1,0,0,1,0,2
175,1,2,6,5,4,3,4,5,5,2,0,5,4,5,4,5,4,5,1,4,4,4,4,4,4,1,0,1,1,0,3
176,1,2,6,5,6,5,4,5,5,1,3,5,4,4,6,3,5,5,6,4,5,4,4,4,4,1,0,1,1,1,3
178,2,1,6,6,6,5,5,5,6,5,3,5,4,4,6,3,6,2,6,6,5,4,4,4,4, ,0,1,0,1,1
180,1,2,6,2,5,4,6,2,3,2,1,4,5,4,2,2,1,6,6,3,4,3,5,5,5,1,0,0,0,1,3
181,1,1,6,6,6,5,4,5,5,5,0,4,5,1,1,0,5,0,0,5,4, , , , , , , , , , 
182,2, ,6,5,5,5,5,5,5,5,0,5,2,5,5,2,5,2,6,6,5, , , , , , , , , , 
184,2,2,6,6,6,6,6,6,6,6,3,6,3,3,5,3,6,4,6,6,6, , , , , , , , , , 
185,1,1,4,4,5,4,3,3,4,3,2,5,3,4,5,2,4,2,6,4,5,3,4,4,4,1,0,1,0,1,3
186,1,1,6,6,6,3,2,4,6,4,0,5,3,5,6,2,3,0,6,6,6,4,4,5,5,1,0,1,1,1,2
190,2,1,6,6,6,5,5,5,6,6,1,3,3,3,1,2,5,1,5,6,6, , , , , , , , , , 
191,2,1,6,6,6,3,3,3,5,6,4,4,1,6,4,1,2,4,0,5,3, , , , , , , , , , 
192,2,1,6,5,6,3,4,5,6,0, , , , , , , , ,5,6,5,4,4,4,4,1,0,1,1,1,1
193,2,1,6,5,5,6,4,5,4,0,0,4,3,3,4,3,4,4,5,6,6,5,5,5,4,1,0,1,1,0,3
194,2,1,6,4,6,4,2,4,5,3,1,6,3,6,5,3,5,3,4,5,5, , , , , , , , , , 
195,2,1,6,5,6,4,5,6,3,4,1,3,4,3,1,1,4,5,4,6,5, , , , , , , , , , 
201,2,1,6,6,5,5,6,6,6,5,3,3,6,5,6,0,5,0,6,4,6, , , , , , , , , , 
203, , ,5,3,5,2,0,0,4,1,0,6,4,4,5,1,3,2,5,5,5,4,4,4,4,2,0,0,0,1,2
205,2,2,6,6,6,6,4,6,6,6,3,6,5,6,5,1,4,1,6,6,6, , , , , , , , , , 
206,2,2,4,4,5,5,4,3,4,4,3,5,5,5,5,4,4,5,4,5,4,4,3,4,4,1,0,1,0,1,3
211,2,2,6,5,5,4,4,6,5,4,0,6,5,6,5,4,4,4,6,6,5,4, ,4,3,1,0,1,1,1,3
212,2,2,5,6,5,3,3,6,5,5,1,4,3,5,5,3,3,2,5,5,5, , , , , , , , , , 
213,1,1,6,5,6,4,5,4,6, ,0,4,4,4,4,5,5,0,4,4,4,4,4,4,4,1,0,1,0,1,2
214,1,1,6,5,6,4,5,1,6,6,6,0,3,1,2,1,6,1,5,4,5,0,1,1,1,3,1,1,1,0,2
215,2,1,6,6,6,6,6,6,6,6,3,4,4,6,6,6,6, ,6,6,6,5,5,5,5,1,0,1,1,1,2
216,1,1,5,5,6,3,3,2,3,3,1,6,5,5,6,2,6,1,3,3,2, , , , , , , , , , 
217,1,2,4,4,6,4,4,4,5,4,1,1,4,4,4,5,3,1,4,4,4,3,3,4,4,2,0,1,1,0,3
218,2,2,5,4,6,4,4,3,6,5,4,4,2,4,3,4,5,3,6,6,4,3,3,3,3,1,0,0,0,1,1
219,2,2,6,6,6,5,3,6,2,2,0,4,6,5,3,3,5,5,3,6,5,4,4,4,4,1,0,1,0,0,2
220,2,1,6,6,6,6,5,6,6,6,3,4,4,5,6,2,6,6,6,6,6,3,4,3,3,1,0,1,0,0,2
221,1,2,6,6,5,4,5,6,6,6,0,3,5,4,5,0,6,2,3,4,4,4,4,4,4,1,0,1,1,1,1
227,2,1,4,2,6,5,3,3,2,2,5,3,4,3,2,1,3,4,2,4,5,5,5,5,4,2,0,1,1,0,2
